dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
finegym,val,AZ4wWG6Rcak_E_001509_001515_A_0000_0006,data/FineGym_data/videos/val/0/AZ4wWG6Rcak_E_001509_001515_A_0000_0006.mp4,0,16,10,2,9,False,False,0.13999323546886444,0.004846207972150296,0.0012849150316469604,0.2386918410193175,152,8,16,16,False,
finegym,val,C5Yfd1IWjmM_E_004141_004148_A_0000_0006,data/FineGym_data/videos/val/0/C5Yfd1IWjmM_E_004141_004148_A_0000_0006.mp4,0,16,10,2,55,False,False,0.21254245936870575,0.0036860149702988565,0.0012849150316469604,0.23290816898224875,198,10,16,16,False,
finegym,val,cWztehyIFkg_E_003442_003450_A_0000_0007,data/FineGym_data/videos/val/0/cWztehyIFkg_E_003442_003450_A_0000_0007.mp4,0,16,10,2,55,False,False,0.9196571111679077,0.00363808503607288,0.0012849150316469604,0.22828949900576845,191,10,16,16,False,
finegym,val,gYyLkUbGuUU_E_001187_001204_A_0000_0017,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_001187_001204_A_0000_0017.mp4,0,16,10,2,47,False,False,0.3884143531322479,0.004133798007387668,0.0012849150316469604,0.22370465198764578,433,16,16,16,False,
finegym,val,eH-ZgOT8ASM_E_001808_001815_A_0000_0006,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001808_001815_A_0000_0006.mp4,0,16,10,2,52,False,False,0.29995501041412354,0.0038540519890375435,0.0012849150316469604,0.21859419700922444,168,9,16,16,False,
finegym,val,gYyLkUbGuUU_E_000878_000886_A_0001_0008,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_000878_000886_A_0001_0008.mp4,0,16,10,2,47,False,False,0.15060363709926605,0.0031582419760525227,0.0012849150316469604,0.21358161699026823,165,8,16,16,False,
finegym,val,e3EsDlpNo0c_E_008355_008367_A_0000_0011,data/FineGym_data/videos/val/0/e3EsDlpNo0c_E_008355_008367_A_0000_0011.mp4,0,16,10,2,8,False,False,0.8597885966300964,0.0039912189822643995,0.0012849150316469604,0.20949099998688325,338,16,16,16,False,
finegym,val,fH-VYYl9elA_E_002327_002334_A_0000_0006,data/FineGym_data/videos/val/0/fH-VYYl9elA_E_002327_002334_A_0000_0006.mp4,0,16,10,2,55,False,False,0.7936534285545349,0.003972915001213551,0.0012849150316469604,0.20454777899431065,204,10,16,16,False,
finegym,val,FNEeMvHmuEw_E_002104_002111_A_0000_0007,data/FineGym_data/videos/val/0/FNEeMvHmuEw_E_002104_002111_A_0000_0007.mp4,0,16,10,2,21,False,False,0.39892441034317017,0.004167612001765519,0.0012849150316469604,0.19950782699743286,219,11,16,16,False,
finegym,val,eH-ZgOT8ASM_E_001190_001198_A_0001_0008,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001190_001198_A_0001_0008.mp4,0,16,10,2,55,False,False,0.9797899723052979,0.0036023170105181634,0.0012849150316469604,0.1941817969782278,176,9,16,16,False,
finegym,val,gYyLkUbGuUU_E_002579_002587_A_0001_0007,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_002579_002587_A_0001_0007.mp4,0,16,10,2,25,False,False,0.2633804976940155,0.0028696589870378375,0.0012849150316469604,0.18942004698328674,161,8,16,16,False,
finegym,val,cWztehyIFkg_E_001966_001975_A_0001_0008,data/FineGym_data/videos/val/0/cWztehyIFkg_E_001966_001975_A_0001_0008.mp4,0,16,10,2,55,False,False,0.2884756326675415,0.0034866900532506406,0.0012849150316469604,0.1855983870336786,190,10,16,16,False,
finegym,val,e3EsDlpNo0c_E_008340_008347_A_0000_0006,data/FineGym_data/videos/val/0/e3EsDlpNo0c_E_008340_008347_A_0000_0006.mp4,0,16,10,2,76,False,False,0.8666245937347412,0.0030430660117417574,0.0012849150316469604,0.18100848101312295,184,9,16,16,False,
finegym,val,eH-ZgOT8ASM_E_001513_001520_A_0000_0006,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001513_001520_A_0000_0006.mp4,0,16,10,2,55,False,False,0.880316972732544,0.0036472720094025135,0.0012849150316469604,0.17658048000885174,160,8,16,16,False,
