dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,16,50,8,125,False,False,0.06714072078466415,0.19280801294371486,0.004714439746749122,5.762519845040515,46,3,16,16,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,16,50,8,127,False,False,0.21891862154006958,0.2562248089816421,0.004714439746749122,5.566486686002463,54,4,16,16,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,16,50,8,127,False,False,0.6474288702011108,0.1933146200608462,0.004714439746749122,5.308020397089422,62,4,16,16,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,16,50,8,125,False,False,0.34371235966682434,0.11788273602724075,0.004714439746749122,5.113243488129228,41,3,16,16,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,16,50,8,125,False,False,0.32754868268966675,0.2605608708690852,0.004714439746749122,4.993131880881265,46,3,16,16,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,16,50,8,129,False,False,0.20773480832576752,0.16009812313131988,0.004714439746749122,4.72993040480651,42,3,16,16,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,16,50,8,126,False,False,0.6621485948562622,0.22656710213050246,0.004714439746749122,4.567354364786297,42,3,16,16,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,16,50,8,127,False,False,0.5611581802368164,0.25877552200108767,0.004714439746749122,4.337631612084806,33,2,16,16,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,16,50,8,126,False,False,0.6368579864501953,0.15037754690274596,0.004714439746749122,4.07621885696426,52,4,16,16,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,16,50,8,36,False,False,0.24441863596439362,0.162290311884135,0.004714439746749122,3.9238090249709785,63,4,16,16,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,16,50,8,124,False,False,0.1393035352230072,0.251417102990672,0.004714439746749122,3.7595013410318643,48,3,16,16,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,16,50,8,126,False,False,0.15982244908809662,0.13994622114114463,0.004714439746749122,3.505066368030384,42,3,16,16,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,16,50,8,127,False,False,0.31941959261894226,0.1700375541113317,0.004714439746749122,3.3636287138797343,57,4,16,16,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,16,50,8,127,False,False,0.6077901721000671,0.16261459700763226,0.004714439746749122,3.1917316170874983,44,3,16,16,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,16,50,8,126,False,False,0.287497341632843,0.1504069878719747,0.004714439746749122,3.026773450896144,65,4,16,16,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,16,50,8,127,False,False,0.2801705300807953,0.13102610292844474,0.004714439746749122,2.8737360418308526,54,4,16,16,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,16,50,8,127,False,False,0.32372230291366577,0.23255196493119001,0.004714439746749122,2.7406094800680876,44,3,16,16,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,16,50,8,146,False,False,0.3537778854370117,0.17984654707834125,0.004714439746749122,2.5048594928812236,41,3,16,16,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,16,50,8,125,False,False,0.12798361480236053,0.15896547003649175,0.004714439746749122,2.3229215901810676,32,2,16,16,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,16,50,8,125,False,False,0.10779833793640137,0.017687618965283036,0.004714439746749122,2.1619348048698157,52,4,16,16,False,
