dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,126896,data/Something_data/videos_full/126896.webm,1,8,100,4,-1,False,False,0.0,0.0,0.0,0.07376873190514743,0,0,0,0,True,"[17:16:51] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [17:16:51] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,8,100,4,0,True,True,0.22404028475284576,0.14413278200663626,0.001502289655036293,3.9508836169261485,46,8,8,8,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,8,100,4,0,True,True,0.17791028320789337,0.1780732108745724,0.001502289655036293,3.8056657928973436,54,8,8,8,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,8,100,4,0,True,True,0.6008917689323425,0.14760679891332984,0.001502289655036293,3.626701648114249,62,8,8,8,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,8,100,4,0,True,True,0.9676803350448608,0.08909401809796691,0.001502289655036293,3.4781125041190535,41,8,8,8,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,8,100,4,32,False,True,0.45302867889404297,0.19672645209357142,0.001502289655036293,3.3882728971075267,46,8,8,8,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,8,100,4,130,False,True,0.7515668272972107,0.1089995380025357,0.001502289655036293,3.190667937975377,42,8,8,8,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,8,100,4,0,True,True,0.9502565264701843,0.15703756688162684,0.001502289655036293,3.080877380911261,42,8,8,8,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,8,100,4,0,True,True,0.6674731969833374,0.20491090300492942,0.001502289655036293,2.923052604077384,33,8,8,8,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,8,100,4,0,True,True,0.16646865010261536,0.09399723191745579,0.001502289655036293,2.7172735210042447,52,8,8,8,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,8,100,4,125,False,True,0.07041560113430023,0.1262312880717218,0.001502289655036293,2.6226141860242933,63,8,8,8,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,8,100,4,32,False,True,0.23927302658557892,0.19334059697575867,0.001502289655036293,2.4955991960596293,48,8,8,8,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,8,100,4,124,False,True,0.35938364267349243,0.10097018186934292,0.001502289655036293,2.301362780854106,42,8,8,8,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,8,100,4,0,True,True,0.4366571307182312,0.13161421101540327,0.001502289655036293,2.1996391038410366,57,8,8,8,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,8,100,4,160,False,False,0.1749667376279831,0.11883264686912298,0.001502289655036293,2.06713660992682,44,8,8,8,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,8,100,4,126,False,False,0.8502326607704163,0.11203991086222231,0.001502289655036293,1.9475347569677979,65,8,8,8,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,8,100,4,0,True,True,0.8783454895019531,0.08762402692809701,0.001502289655036293,1.834715381031856,54,8,8,8,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,8,100,4,32,False,True,0.3317854702472687,0.17169425007887185,0.001502289655036293,1.7464322168380022,44,8,8,8,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,8,100,4,32,False,True,0.49981218576431274,0.12827679282054305,0.001502289655036293,1.573864137986675,41,8,8,8,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,8,100,4,48,False,False,0.7986631989479065,0.11772920191287994,0.001502289655036293,1.4447316040750593,32,8,8,8,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,8,100,4,0,True,True,0.3223286271095276,0.026439051143825054,0.001502289655036293,1.3262466290034354,52,8,8,8,False,
somethingv2,validation,52371,data/Something_data/videos_full/52371.webm,1,8,100,4,37,False,False,0.3426295220851898,0.14119684393517673,0.001502289655036293,1.2985947078559548,68,8,8,8,False,
somethingv2,validation,18320,data/Something_data/videos_full/18320.webm,1,8,100,4,67,False,False,0.5493183732032776,0.056413376005366445,0.001502289655036293,1.1565877869725227,33,8,8,8,False,
somethingv2,validation,182144,data/Something_data/videos_full/182144.webm,1,8,100,4,160,False,False,0.13274599611759186,0.13763093505986035,0.001502289655036293,1.0995410631876439,43,8,8,8,False,
somethingv2,validation,47739,data/Something_data/videos_full/47739.webm,1,8,100,4,160,False,False,0.31947946548461914,0.08277914393693209,0.001502289655036293,0.9610229139216244,44,8,8,8,False,
somethingv2,validation,48198,data/Something_data/videos_full/48198.webm,1,8,100,4,98,False,False,0.9109021425247192,0.05332410312257707,0.001502289655036293,0.877600661944598,35,8,8,8,False,
somethingv2,validation,113630,data/Something_data/videos_full/113630.webm,1,8,100,4,41,False,True,0.3462398648262024,0.11904793418943882,0.001502289655036293,0.8234947999008,42,8,8,8,False,
somethingv2,validation,17233,data/Something_data/videos_full/17233.webm,1,8,100,4,1,True,True,0.16971105337142944,0.1272090959828347,0.001502289655036293,0.6289436321239918,50,8,8,8,False,
somethingv2,validation,211670,data/Something_data/videos_full/211670.webm,1,8,100,4,17,False,False,0.15480461716651917,0.10708461608737707,0.001502289655036293,0.5008620759472251,58,8,8,8,False,
somethingv2,validation,214846,data/Something_data/videos_full/214846.webm,1,8,100,4,14,False,True,0.17253342270851135,0.07396746682934463,0.001502289655036293,0.3928052068222314,66,8,8,8,False,
somethingv2,validation,149011,data/Something_data/videos_full/149011.webm,1,8,100,4,14,False,False,0.12762229144573212,0.12383566400967538,0.001502289655036293,0.3181845599319786,64,8,8,8,False,
somethingv2,validation,211312,data/Something_data/videos_full/211312.webm,1,8,100,4,112,False,False,0.1965576857328415,0.07683580694720149,0.001502289655036293,0.19344325503334403,38,8,8,8,False,
somethingv2,validation,72089,data/Something_data/videos_full/72089.webm,1,8,100,4,49,False,True,0.34596750140190125,0.06539651099592447,0.001502289655036293,0.11585785308852792,42,8,8,8,False,
somethingv2,validation,130457,data/Something_data/videos_full/130457.webm,1,8,100,4,-1,False,False,0.0,0.0,0.0,0.05711707309819758,0,0,0,0,True,"[17:16:52] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [17:16:52] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,127592,data/Something_data/videos_full/127592.webm,2,8,100,4,-1,False,False,0.0,0.0,0.0,0.06578003102913499,0,0,0,0,True,"[17:16:53] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [17:16:53] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,48640,data/Something_data/videos_full/48640.webm,1,8,100,4,1,True,True,0.4165290296077728,0.05294557404704392,0.0015226491523208097,3.6605014889501035,51,8,8,8,False,
somethingv2,validation,21847,data/Something_data/videos_full/21847.webm,1,8,100,4,109,False,True,0.6456432938575745,0.07462498708628118,0.0015226491523208097,3.5489024280104786,52,8,8,8,False,
somethingv2,validation,213934,data/Something_data/videos_full/213934.webm,1,8,100,4,49,False,False,0.3870479166507721,0.09835453797131777,0.0015226491523208097,3.473616112023592,69,8,8,8,False,
somethingv2,validation,148261,data/Something_data/videos_full/148261.webm,1,8,100,4,33,False,False,0.1920805424451828,0.19190219696611166,0.0015226491523208097,3.37446116306819,70,8,8,8,False,
somethingv2,validation,149753,data/Something_data/videos_full/149753.webm,1,8,100,4,49,False,True,0.7960649728775024,0.07720695319585502,0.0015226491523208097,3.18174018105492,57,8,8,8,False,
somethingv2,validation,129999,data/Something_data/videos_full/129999.webm,1,8,100,4,67,False,False,0.14799822866916656,0.08048496791161597,0.0015226491523208097,3.103741557803005,42,8,8,8,False,
somethingv2,validation,35716,data/Something_data/videos_full/35716.webm,2,8,100,4,150,False,False,0.5838900208473206,0.12256732396781445,0.0015226491523208097,3.0226299511268735,67,8,8,8,False,
somethingv2,validation,174755,data/Something_data/videos_full/174755.webm,2,8,100,4,65,False,True,0.20719574391841888,0.08063530107028782,0.0015226491523208097,2.8991457379888743,60,8,8,8,False,
somethingv2,validation,212394,data/Something_data/videos_full/212394.webm,2,8,100,4,65,False,True,0.3588052988052368,0.1212500270921737,0.0015226491523208097,2.8178483969531953,49,8,8,8,False,
somethingv2,validation,35569,data/Something_data/videos_full/35569.webm,2,8,100,4,41,False,False,0.17018809914588928,0.11912134196609259,0.0015226491523208097,2.6958451240789145,54,8,8,8,False,
somethingv2,validation,83918,data/Something_data/videos_full/83918.webm,2,8,100,4,145,False,True,0.37787896394729614,0.12660990585573018,0.0015226491523208097,2.5761047748383135,66,8,8,8,False,
somethingv2,validation,171983,data/Something_data/videos_full/171983.webm,2,8,100,4,161,False,False,0.13996978104114532,0.114288539160043,0.0015226491523208097,2.3821342322044075,68,8,8,8,False,
somethingv2,validation,87512,data/Something_data/videos_full/87512.webm,2,8,100,4,143,False,False,0.5734286904335022,0.06776482309214771,0.0015226491523208097,2.2670546509325504,37,8,8,8,False,
somethingv2,validation,33272,data/Something_data/videos_full/33272.webm,2,8,100,4,3,False,False,0.321323037147522,0.16115922504104674,0.0015226491523208097,2.1984346229583025,61,8,8,8,False,
somethingv2,validation,98869,data/Something_data/videos_full/98869.webm,2,8,100,4,162,False,True,0.6149957776069641,0.11132190795615315,0.0015226491523208097,2.0364161480683833,48,8,8,8,False,
somethingv2,validation,143280,data/Something_data/videos_full/143280.webm,2,8,100,4,3,False,True,0.7907099723815918,0.09289984591305256,0.0015226491523208097,1.9243190658744425,40,8,8,8,False,
somethingv2,validation,21174,data/Something_data/videos_full/21174.webm,2,8,100,4,2,True,True,0.25824838876724243,0.11302179493941367,0.0015226491523208097,1.8307402511127293,54,8,8,8,False,
somethingv2,validation,148402,data/Something_data/videos_full/148402.webm,2,8,100,4,41,False,False,0.3904056251049042,0.09725576010532677,0.0015226491523208097,1.7168355300091207,34,8,8,8,False,
somethingv2,validation,4283,data/Something_data/videos_full/4283.webm,2,8,100,4,2,True,True,0.42968255281448364,0.09849041095003486,0.0015226491523208097,1.6188467361498624,36,8,8,8,False,
somethingv2,validation,34165,data/Something_data/videos_full/34165.webm,2,8,100,4,162,False,True,0.5149310231208801,0.1148981039877981,0.0015226491523208097,1.5194736348930746,51,8,8,8,False,
somethingv2,validation,197315,data/Something_data/videos_full/197315.webm,2,8,100,4,3,False,True,0.39288121461868286,0.018330880906432867,0.0015226491523208097,1.4037768121343106,49,8,8,8,False,
somethingv2,validation,130777,data/Something_data/videos_full/130777.webm,2,8,100,4,162,False,True,0.44054117798805237,0.0847752159461379,0.0015226491523208097,1.3847142411395907,34,8,8,8,False,
somethingv2,validation,189302,data/Something_data/videos_full/189302.webm,2,8,100,4,106,False,False,0.12589316070079803,0.1623868781607598,0.0015226491523208097,1.2987521409522742,51,8,8,8,False,
somethingv2,validation,121323,data/Something_data/videos_full/121323.webm,2,8,100,4,14,False,False,0.12328983843326569,0.1318720991257578,0.0015226491523208097,1.135457020951435,55,8,8,8,False,
somethingv2,validation,16284,data/Something_data/videos_full/16284.webm,2,8,100,4,2,True,True,0.3719659745693207,0.10292243910953403,0.0015226491523208097,1.0024537830613554,30,8,8,8,False,
somethingv2,validation,218883,data/Something_data/videos_full/218883.webm,3,8,100,4,150,False,True,0.2728228271007538,0.016863703029230237,0.0015226491523208097,0.8987980890087783,44,8,8,8,False,
somethingv2,validation,125356,data/Something_data/videos_full/125356.webm,3,8,100,4,38,False,False,0.7665876746177673,0.17173676611855626,0.0015226491523208097,0.8809992570895702,37,8,8,8,False,
somethingv2,validation,36641,data/Something_data/videos_full/36641.webm,3,8,100,4,79,False,False,0.16440141201019287,0.169787511928007,0.0015226491523208097,0.7085190720390528,73,8,8,8,False,
somethingv2,validation,10996,data/Something_data/videos_full/10996.webm,3,8,100,4,150,False,True,0.5437600016593933,0.09478965494781733,0.0015226491523208097,0.5376982919406146,54,8,8,8,False,
somethingv2,validation,204754,data/Something_data/videos_full/204754.webm,3,8,100,4,150,False,False,0.19860394299030304,0.2176267560571432,0.0015226491523208097,0.4421631421428174,46,8,8,8,False,
somethingv2,validation,86069,data/Something_data/videos_full/86069.webm,3,8,100,4,143,False,True,0.3587634563446045,0.09480045503005385,0.0015226491523208097,0.2235545830335468,47,8,8,8,False,
somethingv2,validation,145382,data/Something_data/videos_full/145382.webm,3,8,100,4,91,False,False,0.16442063450813293,0.07687354111112654,0.0015226491523208097,0.12783540599048138,70,8,8,8,False,
somethingv2,validation,46447,data/Something_data/videos_full/46447.webm,4,8,100,4,-1,False,False,0.0,0.0,0.0,0.1499947728589177,0,0,0,0,True,"[17:16:59] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:292: [17:16:59] /github/workspace/src/video/ffmpeg/threaded_decoder.cc:218: Check failed: avcodec_send_packet(dec_ctx_.get(), pkt.get()) >= 0 (-11 vs. 0) Thread worker: Error sending packet."
somethingv2,validation,67146,data/Something_data/videos_full/67146.webm,3,8,100,4,3,True,True,0.17982569336891174,0.12277715001255274,0.001498138160968665,5.0299622169695795,36,8,8,8,False,
somethingv2,validation,218282,data/Something_data/videos_full/218282.webm,3,8,100,4,3,True,True,0.7692813873291016,0.11435011704452336,0.001498138160968665,4.906109313946217,72,8,8,8,False,
somethingv2,validation,217495,data/Something_data/videos_full/217495.webm,3,8,100,4,2,False,True,0.5924670100212097,0.04898625914938748,0.001498138160968665,4.790758938062936,45,8,8,8,False,
somethingv2,validation,59109,data/Something_data/videos_full/59109.webm,3,8,100,4,80,False,False,0.1477683186531067,0.0908654541708529,0.001498138160968665,4.74112902302295,29,8,8,8,False,
somethingv2,validation,119450,data/Something_data/videos_full/119450.webm,3,8,100,4,3,True,True,0.36929482221603394,0.09561166097410023,0.001498138160968665,4.649513484211639,50,8,8,8,False,
somethingv2,validation,137269,data/Something_data/videos_full/137269.webm,3,8,100,4,63,False,False,0.13828442990779877,0.14220830705016851,0.001498138160968665,4.553248010808602,40,8,8,8,False,
somethingv2,validation,146415,data/Something_data/videos_full/146415.webm,3,8,100,4,90,False,True,0.28764787316322327,0.1927995439618826,0.001498138160968665,4.41014483384788,59,8,8,8,False,
somethingv2,validation,149534,data/Something_data/videos_full/149534.webm,3,8,100,4,3,True,True,0.18375495076179504,0.15429782797582448,0.001498138160968665,4.216425109189004,29,8,8,8,False,
somethingv2,validation,55274,data/Something_data/videos_full/55274.webm,3,8,100,4,65,False,False,0.1519010066986084,0.09739303984679282,0.001498138160968665,4.061370509909466,61,8,8,8,False,
somethingv2,validation,175746,data/Something_data/videos_full/175746.webm,3,8,100,4,3,True,True,0.17931145429611206,0.07647287705913186,0.001498138160968665,3.963237849995494,49,8,8,8,False,
somethingv2,validation,198240,data/Something_data/videos_full/198240.webm,3,8,100,4,157,False,False,0.12033697962760925,0.11844046390615404,0.001498138160968665,3.885985046857968,43,8,8,8,False,
somethingv2,validation,10535,data/Something_data/videos_full/10535.webm,3,8,100,4,3,True,True,0.20804546773433685,0.11671218601986766,0.001498138160968665,3.7667734769638628,56,8,8,8,False,
somethingv2,validation,129496,data/Something_data/videos_full/129496.webm,3,8,100,4,143,False,False,0.20131002366542816,0.1638278099708259,0.001498138160968665,3.6492953109554946,53,8,8,8,False,
somethingv2,validation,98828,data/Something_data/videos_full/98828.webm,4,8,100,4,37,False,True,0.10198019444942474,0.224793897010386,0.001498138160968665,3.4843943300656974,54,8,8,8,False,
somethingv2,validation,138291,data/Something_data/videos_full/138291.webm,4,8,100,4,168,False,True,0.6186555624008179,0.24676581495441496,0.001498138160968665,3.2584498040378094,60,8,8,8,False,
somethingv2,validation,158627,data/Something_data/videos_full/158627.webm,4,8,100,4,114,False,False,0.4279921352863312,0.14424580615013838,0.001498138160968665,3.0104862248990685,61,8,8,8,False,
somethingv2,validation,178993,data/Something_data/videos_full/178993.webm,4,8,100,4,68,False,True,0.7480598092079163,0.3070394799578935,0.001498138160968665,2.865270846989006,61,8,8,8,False,
somethingv2,validation,38014,data/Something_data/videos_full/38014.webm,4,8,100,4,37,False,False,0.07852845638990402,0.15761517314240336,0.001498138160968665,2.557021182961762,65,8,8,8,False,
somethingv2,validation,6426,data/Something_data/videos_full/6426.webm,4,8,100,4,4,True,True,0.5205640196800232,0.15064507187344134,0.001498138160968665,2.398398611927405,61,8,8,8,False,
somethingv2,validation,143809,data/Something_data/videos_full/143809.webm,4,8,100,4,4,True,True,0.5037784576416016,0.31393091892823577,0.001498138160968665,2.246810771059245,62,8,8,8,False,
somethingv2,validation,30133,data/Something_data/videos_full/30133.webm,4,8,100,4,106,False,True,0.11466782540082932,0.022174889920279384,0.001498138160968665,1.9316908810287714,61,8,8,8,False,
somethingv2,validation,133673,data/Something_data/videos_full/133673.webm,4,8,100,4,145,False,False,0.3420972526073456,0.10170603799633682,0.001498138160968665,1.7578927089925855,42,8,8,8,False,
somethingv2,validation,184798,data/Something_data/videos_full/184798.webm,4,8,100,4,4,True,True,0.2313191145658493,0.08584273187443614,0.001498138160968665,1.6553404650185257,55,8,8,8,False,
somethingv2,validation,119253,data/Something_data/videos_full/119253.webm,4,8,100,4,6,False,True,0.9903557300567627,0.05096507701091468,0.001498138160968665,1.5687594518531114,32,8,8,8,False,
somethingv2,validation,79760,data/Something_data/videos_full/79760.webm,4,8,100,4,143,False,False,0.448777437210083,0.1666830419562757,0.001498138160968665,1.5170366039965302,63,8,8,8,False,
somethingv2,validation,38232,data/Something_data/videos_full/38232.webm,4,8,100,4,134,False,False,0.08670373260974884,0.26588003896176815,0.001498138160968665,1.3493910119868815,57,8,8,8,False,
somethingv2,validation,68815,data/Something_data/videos_full/68815.webm,4,8,100,4,123,False,True,0.6697577834129333,0.2869854550808668,0.001498138160968665,1.082533999113366,54,8,8,8,False,
somethingv2,validation,219838,data/Something_data/videos_full/219838.webm,4,8,100,4,114,False,True,0.33834847807884216,0.1611912539228797,0.001498138160968665,0.7946422400418669,51,8,8,8,False,
somethingv2,validation,40842,data/Something_data/videos_full/40842.webm,4,8,100,4,106,False,False,0.21667514741420746,0.16635598987340927,0.001498138160968665,0.6323242629878223,62,8,8,8,False,
somethingv2,validation,171745,data/Something_data/videos_full/171745.webm,4,8,100,4,130,False,False,0.14666737616062164,0.1486209079157561,0.001498138160968665,0.4650795739144087,70,8,8,8,False,
somethingv2,validation,144888,data/Something_data/videos_full/144888.webm,4,8,100,4,14,False,True,0.569689929485321,0.09988761297427118,0.001498138160968665,0.3155691421125084,36,8,8,8,False,
somethingv2,validation,79050,data/Something_data/videos_full/79050.webm,4,8,100,4,123,False,False,0.33984601497650146,0.16422289912588894,0.001498138160968665,0.2149342061020434,73,8,8,8,False,
somethingv2,validation,13099,data/Something_data/videos_full/13099.webm,5,8,100,4,14,False,True,0.8653516173362732,0.12299391301348805,0.0014931931582395919,3.32747983885929,45,8,8,8,False,
somethingv2,validation,199250,data/Something_data/videos_full/199250.webm,5,8,100,4,5,True,True,0.9024518728256226,0.08977316180244088,0.0014931931582395919,3.2035487920511514,56,8,8,8,False,
somethingv2,validation,150767,data/Something_data/videos_full/150767.webm,5,8,100,4,144,False,False,0.11729069799184799,0.08710859203711152,0.0014931931582395919,3.113128626951948,41,8,8,8,False,
somethingv2,validation,180461,data/Something_data/videos_full/180461.webm,5,8,100,4,43,False,True,0.19109943509101868,0.11847988096997142,0.0014931931582395919,3.0252512730658054,55,8,8,8,False,
somethingv2,validation,163710,data/Something_data/videos_full/163710.webm,5,8,100,4,145,False,True,0.18827813863754272,0.11332084098830819,0.0014931931582395919,2.9060111159924418,47,8,8,8,False,
somethingv2,validation,68326,data/Something_data/videos_full/68326.webm,5,8,100,4,124,False,False,0.9717833995819092,0.13126018992625177,0.0014931931582395919,2.7917965308297426,43,8,8,8,False,
somethingv2,validation,83372,data/Something_data/videos_full/83372.webm,5,8,100,4,164,False,False,0.19931897521018982,0.12983853206969798,0.0014931931582395919,2.65953185595572,34,8,8,8,False,
somethingv2,validation,197582,data/Something_data/videos_full/197582.webm,5,8,100,4,5,True,True,0.24879302084445953,0.1293188331183046,0.0014931931582395919,2.5289178579114377,58,8,8,8,False,
somethingv2,validation,162669,data/Something_data/videos_full/162669.webm,5,8,100,4,5,True,True,0.93617844581604,0.06762682204134762,0.0014931931582395919,2.3987808800302446,46,8,8,8,False,
somethingv2,validation,91096,data/Something_data/videos_full/91096.webm,5,8,100,4,29,False,False,0.6523895263671875,0.08230892405845225,0.0014931931582395919,2.330494830850512,38,8,8,8,False,
somethingv2,validation,151541,data/Something_data/videos_full/151541.webm,5,8,100,4,124,False,False,0.6862435340881348,0.09419546602293849,0.0014931931582395919,2.247041766066104,28,7,8,8,False,
somethingv2,validation,163470,data/Something_data/videos_full/163470.webm,5,8,100,4,66,False,True,0.3818846344947815,0.12009330186992884,0.0014931931582395919,2.152127768145874,63,8,8,8,False,
somethingv2,validation,44374,data/Something_data/videos_full/44374.webm,5,8,100,4,46,False,True,0.578801691532135,0.09221735782921314,0.0014931931582395919,2.031112392898649,33,8,8,8,False,
somethingv2,validation,138772,data/Something_data/videos_full/138772.webm,5,8,100,4,5,True,True,0.5603457093238831,0.0750616961158812,0.0014931931582395919,1.9380275621078908,55,8,8,8,False,
somethingv2,validation,55421,data/Something_data/videos_full/55421.webm,5,8,100,4,145,False,True,0.32599931955337524,0.09241584199480712,0.0014931931582395919,1.8620957050006837,70,8,8,8,False,
