dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,8,10,16,125,False,False,0.8968130350112915,0.008788884995738044,0.012545286312160897,0.9737151130102575,46,1,8,8,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,8,10,16,130,False,False,0.2052495777606964,0.010074060002807528,0.012545286312160897,0.9573725390073378,54,1,8,8,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,8,10,16,127,False,False,0.4582898020744324,0.006683148996671662,0.012545286312160897,0.9381400440179277,62,1,8,8,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,8,10,16,127,False,False,0.8012664318084717,0.005777393002063036,0.012545286312160897,0.925688283983618,41,1,8,8,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,8,10,16,125,False,False,0.9781102538108826,0.01035430800402537,0.012545286312160897,0.916265754000051,46,1,8,8,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,8,10,16,129,False,False,0.7777873873710632,0.007080301002133638,0.012545286312160897,0.8978706670168322,42,1,8,8,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,8,10,16,125,False,False,0.9944591522216797,0.009783449000678957,0.012545286312160897,0.8858073029841762,42,1,8,8,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,8,10,16,127,False,False,0.9833400249481201,0.01180006898357533,0.012545286312160897,0.8671989389986265,33,1,8,8,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,8,10,16,125,False,False,0.7744715213775635,0.006130477995611727,0.012545286312160897,0.8442710720119067,52,1,8,8,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,8,10,16,19,False,False,0.3700232207775116,0.006586373987374827,0.012545286312160897,0.835728775971802,63,1,8,8,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,8,10,16,125,False,False,0.9587271213531494,0.00962066400097683,0.012545286312160897,0.8249346410157159,48,1,8,8,False,
somethingv2,validation,112846,data/Something_data/videos_full/112846.webm,0,8,10,16,125,False,False,0.619213342666626,0.006165231025079265,0.012545286312160897,0.8060072050138842,42,1,8,8,False,
somethingv2,validation,198092,data/Something_data/videos_full/198092.webm,0,8,10,16,128,False,False,0.9815334677696228,0.006514140986837447,0.012545286312160897,0.7946373580198269,57,1,8,8,False,
somethingv2,validation,88925,data/Something_data/videos_full/88925.webm,0,8,10,16,127,False,False,0.44936513900756836,0.0069221169978845865,0.012545286312160897,0.7852987100195605,44,1,8,8,False,
somethingv2,validation,173157,data/Something_data/videos_full/173157.webm,0,8,10,16,126,False,False,0.9970521926879883,0.005999862012686208,0.012545286312160897,0.7735596850106958,65,1,8,8,False,
somethingv2,validation,108136,data/Something_data/videos_full/108136.webm,0,8,10,16,128,False,False,0.6071943044662476,0.0049302480183541775,0.012545286312160897,0.7647904299956281,54,1,8,8,False,
somethingv2,validation,81300,data/Something_data/videos_full/81300.webm,0,8,10,16,125,False,False,0.8666500449180603,0.009331255016149953,0.012545286312160897,0.7585014539945405,44,1,8,8,False,
somethingv2,validation,121078,data/Something_data/videos_full/121078.webm,0,8,10,16,130,False,False,0.9994964599609375,0.00826631998643279,0.012545286312160897,0.7386738169880118,41,1,8,8,False,
somethingv2,validation,24255,data/Something_data/videos_full/24255.webm,0,8,10,16,48,False,False,0.30073726177215576,0.009545831999275833,0.012545286312160897,0.7237191869935486,32,1,8,8,False,
somethingv2,validation,210300,data/Something_data/videos_full/210300.webm,0,8,10,16,125,False,False,0.9990167617797852,0.00769193799351342,0.012545286312160897,0.7075511279981583,52,1,8,8,False,
somethingv2,validation,52371,data/Something_data/videos_full/52371.webm,1,8,10,16,16,False,False,0.33455419540405273,0.007324548001633957,0.012545286312160897,0.6922340949822683,68,1,8,8,False,
somethingv2,validation,18320,data/Something_data/videos_full/18320.webm,1,8,10,16,126,False,False,0.993339478969574,0.005404045979958028,0.012545286312160897,0.6803459349903278,33,1,8,8,False,
