dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
somethingv2,validation,169724,data/Something_data/videos_full/169724.webm,0,16,25,16,125,False,False,0.8917757272720337,0.009832926036324352,0.005165211812709458,0.8142028560396284,46,1,16,16,False,
somethingv2,validation,108286,data/Something_data/videos_full/108286.webm,0,16,25,16,125,False,False,0.7249467968940735,0.010179806966334581,0.005165211812709458,0.7973035289905965,54,1,16,16,False,
somethingv2,validation,147281,data/Something_data/videos_full/147281.webm,0,16,25,16,128,False,False,0.9299070835113525,0.00849243497941643,0.005165211812709458,0.7803330009919591,62,1,16,16,False,
somethingv2,validation,6216,data/Something_data/videos_full/6216.webm,0,16,25,16,125,False,False,0.7388169169425964,0.006898909981828183,0.005165211812709458,0.768337037996389,41,1,16,16,False,
somethingv2,validation,174027,data/Something_data/videos_full/174027.webm,0,16,25,16,125,False,False,0.35617488622665405,0.011247338959947228,0.005165211812709458,0.7598735350184143,46,1,16,16,False,
somethingv2,validation,144827,data/Something_data/videos_full/144827.webm,0,16,25,16,4,False,False,0.29063382744789124,0.008023781003430486,0.005165211812709458,0.739436340983957,42,1,16,16,False,
somethingv2,validation,53775,data/Something_data/videos_full/53775.webm,0,16,25,16,125,False,False,0.882729709148407,0.010971049952786416,0.005165211812709458,0.7281615640386008,42,1,16,16,False,
somethingv2,validation,51951,data/Something_data/videos_full/51951.webm,0,16,25,16,125,False,False,0.969623863697052,0.012872043997049332,0.005165211812709458,0.7108876459533349,33,1,16,16,False,
somethingv2,validation,10430,data/Something_data/videos_full/10430.webm,0,16,25,16,126,False,False,0.6198136210441589,0.007184520014561713,0.005165211812709458,0.6862063489970751,52,1,16,16,False,
somethingv2,validation,148979,data/Something_data/videos_full/148979.webm,0,16,25,16,16,False,False,0.4107365906238556,0.007329986023250967,0.005165211812709458,0.6774240160011686,63,1,16,16,False,
somethingv2,validation,99688,data/Something_data/videos_full/99688.webm,0,16,25,16,124,False,False,0.8431183695793152,0.01044128998182714,0.005165211812709458,0.6667955100419931,48,1,16,16,False,
