dataset,split,video_id,video_path,label_id,budget,coverage,stride,pred_id,correct_top1,correct_top5,confidence,decode_time_s,inference_time_s,total_time_s,source_frames,candidate_frames,processed_frames,model_input_frames,skipped,error
finegym,val,AZ4wWG6Rcak_E_001509_001515_A_0000_0006,data/FineGym_data/videos/val/0/AZ4wWG6Rcak_E_001509_001515_A_0000_0006.mp4,0,32,25,16,2,False,False,0.05456342548131943,0.007593496993649751,0.010265970624459442,0.6349885340314358,152,3,32,32,False,
finegym,val,C5Yfd1IWjmM_E_004141_004148_A_0000_0006,data/FineGym_data/videos/val/0/C5Yfd1IWjmM_E_004141_004148_A_0000_0006.mp4,0,32,25,16,55,False,False,0.0739639475941658,0.0064911129884421825,0.010265970624459442,0.6263679850380868,198,4,32,32,False,
finegym,val,cWztehyIFkg_E_003442_003450_A_0000_0007,data/FineGym_data/videos/val/0/cWztehyIFkg_E_003442_003450_A_0000_0007.mp4,0,32,25,16,25,False,False,0.12391013652086258,0.005467386043164879,0.010265970624459442,0.6187220190186054,191,3,32,32,False,
finegym,val,gYyLkUbGuUU_E_001187_001204_A_0000_0017,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_001187_001204_A_0000_0017.mp4,0,32,25,16,1,False,False,0.515325665473938,0.008041939989198,0.010265970624459442,0.6119888210087083,433,7,32,32,False,
finegym,val,eH-ZgOT8ASM_E_001808_001815_A_0000_0006,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001808_001815_A_0000_0006.mp4,0,32,25,16,95,False,False,0.3929203748703003,0.006289864017162472,0.010265970624459442,0.6027676920057274,168,3,32,32,False,
finegym,val,gYyLkUbGuUU_E_000878_000886_A_0001_0008,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_000878_000886_A_0001_0008.mp4,0,32,25,16,55,False,False,0.5670529007911682,0.004977033997420222,0.010265970624459442,0.5946769790025428,165,3,32,32,False,
finegym,val,e3EsDlpNo0c_E_008355_008367_A_0000_0011,data/FineGym_data/videos/val/0/e3EsDlpNo0c_E_008355_008367_A_0000_0011.mp4,0,32,25,16,16,False,False,0.6942874789237976,0.006537880981341004,0.010265970624459442,0.5886172080063261,338,6,32,32,False,
finegym,val,fH-VYYl9elA_E_002327_002334_A_0000_0006,data/FineGym_data/videos/val/0/fH-VYYl9elA_E_002327_002334_A_0000_0006.mp4,0,32,25,16,94,False,False,0.06339723616838455,0.007002654951065779,0.010265970624459442,0.5808895080117509,204,4,32,32,False,
finegym,val,FNEeMvHmuEw_E_002104_002111_A_0000_0007,data/FineGym_data/videos/val/0/FNEeMvHmuEw_E_002104_002111_A_0000_0007.mp4,0,32,25,16,25,False,False,0.8467090129852295,0.006991394038777798,0.010265970624459442,0.5722882960108109,219,4,32,32,False,
finegym,val,eH-ZgOT8ASM_E_001190_001198_A_0001_0008,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001190_001198_A_0001_0008.mp4,0,32,25,16,16,False,False,0.7618750929832458,0.0058551160036586225,0.010265970624459442,0.5639303810312413,176,3,32,32,False,
finegym,val,gYyLkUbGuUU_E_002579_002587_A_0001_0007,data/FineGym_data/videos/val/0/gYyLkUbGuUU_E_002579_002587_A_0001_0007.mp4,0,32,25,16,55,False,False,0.3122028708457947,0.006184225028846413,0.010265970624459442,0.5566561349551193,161,3,32,32,False,
finegym,val,cWztehyIFkg_E_001966_001975_A_0001_0008,data/FineGym_data/videos/val/0/cWztehyIFkg_E_001966_001975_A_0001_0008.mp4,0,32,25,16,55,False,False,0.5881030559539795,0.005971145001240075,0.010265970624459442,0.5493001849972643,190,3,32,32,False,
finegym,val,e3EsDlpNo0c_E_008340_008347_A_0000_0006,data/FineGym_data/videos/val/0/e3EsDlpNo0c_E_008340_008347_A_0000_0006.mp4,0,32,25,16,1,False,True,0.47838303446769714,0.0067167970119044185,0.010265970624459442,0.5420732469647191,184,3,32,32,False,
finegym,val,eH-ZgOT8ASM_E_001513_001520_A_0000_0006,data/FineGym_data/videos/val/0/eH-ZgOT8ASM_E_001513_001520_A_0000_0006.mp4,0,32,25,16,25,False,False,0.18459641933441162,0.006174056965392083,0.010265970624459442,0.5342588250059634,160,3,32,32,False,
finegym,val,fH-VYYl9elA_E_001531_001537_A_0000_0006,data/FineGym_data/videos/val/0/fH-VYYl9elA_E_001531_001537_A_0000_0006.mp4,0,32,25,16,55,False,False,0.21308796107769012,0.0048561160219833255,0.010265970624459442,0.5265507230069488,186,3,32,32,False,
finegym,val,GbUQwE9N3aM_E_004084_004090_A_0000_0005,data/FineGym_data/videos/val/0/GbUQwE9N3aM_E_004084_004090_A_0000_0005.mp4,0,32,25,16,55,False,False,0.08388476818799973,0.0049236040213145316,0.010265970624459442,0.5203041799832135,170,3,32,32,False,
finegym,val,cWztehyIFkg_E_003463_003477_A_0000_0014,data/FineGym_data/videos/val/0/cWztehyIFkg_E_003463_003477_A_0000_0014.mp4,0,32,25,16,1,False,False,0.36058172583580017,0.007316897041164339,0.010265970624459442,0.5139764049672522,358,6,32,32,False,
finegym,val,e3EsDlpNo0c_E_003772_003778_A_0000_0006,data/FineGym_data/videos/val/1/e3EsDlpNo0c_E_003772_003778_A_0000_0006.mp4,1,32,25,16,1,True,True,0.06977219879627228,0.005218288046307862,0.010265970624459442,0.5054109389893711,192,3,32,32,False,
finegym,val,FEWTGYiWEaQ_E_001576_001583_A_0000_0007,data/FineGym_data/videos/val/1/FEWTGYiWEaQ_E_001576_001583_A_0000_0007.mp4,1,32,25,16,76,False,True,0.1327608823776245,0.0063015560153871775,0.010265970624459442,0.4990916200331412,177,3,32,32,False,
finegym,val,fDa0HpoXES4_E_001803_001810_A_0000_0007,data/FineGym_data/videos/val/1/fDa0HpoXES4_E_001803_001810_A_0000_0007.mp4,1,32,25,16,1,True,True,0.04259074479341507,0.006879294000100344,0.010265970624459442,0.49099859298439696,225,4,32,32,False,
finegym,val,E3AHJ6-QS8M_E_002998_003006_A_0000_0007,data/FineGym_data/videos/val/1/E3AHJ6-QS8M_E_002998_003006_A_0000_0007.mp4,1,32,25,16,55,False,False,0.25611528754234314,0.006283632013946772,0.010265970624459442,0.48311217495938763,196,4,32,32,False,
finegym,val,fDa0HpoXES4_E_002246_002253_A_0000_0006,data/FineGym_data/videos/val/1/fDa0HpoXES4_E_002246_002253_A_0000_0006.mp4,1,32,25,16,16,False,True,0.35011380910873413,0.006822625990025699,0.010265970624459442,0.47557342099025846,207,4,32,32,False,
finegym,val,f-1FbFegbuQ_E_001213_001221_A_0000_0008,data/FineGym_data/videos/val/1/f-1FbFegbuQ_E_001213_001221_A_0000_0008.mp4,1,32,25,16,55,False,True,0.16175483167171478,0.0061566539807245135,0.010265970624459442,0.46737210103310645,227,4,32,32,False,
finegym,val,e3EsDlpNo0c_E_004118_004130_A_0000_0011,data/FineGym_data/videos/val/1/e3EsDlpNo0c_E_004118_004130_A_0000_0011.mp4,1,32,25,16,16,False,True,0.5732325315475464,0.006502724951133132,0.010265970624459442,0.45983671298017725,353,6,32,32,False,
finegym,val,FEWTGYiWEaQ_E_005726_005732_A_0000_0006,data/FineGym_data/videos/val/1/FEWTGYiWEaQ_E_005726_005732_A_0000_0006.mp4,1,32,25,16,52,False,True,0.23304206132888794,0.005795604025479406,0.010265970624459442,0.45207735401345417,153,3,32,32,False,
finegym,val,C5Yfd1IWjmM_E_001265_001272_A_0000_0007,data/FineGym_data/videos/val/1/C5Yfd1IWjmM_E_001265_001272_A_0000_0007.mp4,1,32,25,16,16,False,True,0.5306490659713745,0.005366135970689356,0.010265970624459442,0.44507935701403767,214,4,32,32,False,
finegym,val,0LtLS9wROrk_E_005647_005654_A_0000_0007,data/FineGym_data/videos/val/1/0LtLS9wROrk_E_005647_005654_A_0000_0007.mp4,1,32,25,16,2,False,True,0.814547061920166,0.006224802054930478,0.010265970624459442,0.4386838549980894,208,4,32,32,False,
finegym,val,EKb2MMJSoeI_E_000197_000204_A_0000_0007,data/FineGym_data/videos/val/1/EKb2MMJSoeI_E_000197_000204_A_0000_0007.mp4,1,32,25,16,55,False,True,0.2566322982311249,0.005732806050218642,0.010265970624459442,0.43116273498162627,212,4,32,32,False,
finegym,val,eH-ZgOT8ASM_E_001592_001599_A_0000_0006,data/FineGym_data/videos/val/1/eH-ZgOT8ASM_E_001592_001599_A_0000_0006.mp4,1,32,25,16,1,True,True,0.4115193486213684,0.006685999047476798,0.010265970624459442,0.42416841501835734,153,3,32,32,False,
finegym,val,aEZbP-Yephw_E_005101_005108_A_0000_0007,data/FineGym_data/videos/val/1/aEZbP-Yephw_E_005101_005108_A_0000_0007.mp4,1,32,25,16,55,False,False,0.42667317390441895,0.005171349970623851,0.010265970624459442,0.4160346510470845,171,3,32,32,False,
finegym,val,E3AHJ6-QS8M_E_006426_006433_A_0000_0006,data/FineGym_data/videos/val/1/E3AHJ6-QS8M_E_006426_006433_A_0000_0006.mp4,1,32,25,16,55,False,True,0.08730685710906982,0.00672702700830996,0.010265970624459442,0.40972289600176737,161,3,32,32,False,
finegym,val,aEZbP-Yephw_E_000347_000355_A_0000_0007,data/FineGym_data/videos/val/1/aEZbP-Yephw_E_000347_000355_A_0000_0007.mp4,1,32,25,16,55,False,True,0.14248880743980408,0.006034452992025763,0.010265970624459442,0.40126242802944034,175,3,32,32,False,
finegym,val,BLzs5opw8uM_E_004209_004217_A_0000_0006,data/FineGym_data/videos/val/1/BLzs5opw8uM_E_004209_004217_A_0000_0006.mp4,1,32,25,16,55,False,True,0.05727497860789299,0.010286844044458121,0.01011230681251618,0.6369927739724517,203,4,32,32,False,
finegym,val,E3AHJ6-QS8M_E_005404_005410_A_0000_0005,data/FineGym_data/videos/val/1/E3AHJ6-QS8M_E_005404_005410_A_0000_0005.mp4,1,32,25,16,16,False,True,0.3257710337638855,0.006063557986635715,0.01011230681251618,0.6255324929952621,143,3,32,32,False,
finegym,val,DG7upbhB1bI_E_002301_002309_A_0000_0007,data/FineGym_data/videos/val/1/DG7upbhB1bI_E_002301_002309_A_0000_0007.mp4,1,32,25,16,16,False,False,0.8517184257507324,0.007574199989903718,0.01011230681251618,0.618162447004579,203,4,32,32,False,
finegym,val,f6k7PBGgeb4_E_001804_001812_A_0000_0007,data/FineGym_data/videos/val/1/f6k7PBGgeb4_E_001804_001812_A_0000_0007.mp4,1,32,25,16,55,False,True,0.04607004672288895,0.005766360030975193,0.01011230681251618,0.6093701740028337,186,3,32,32,False,
finegym,val,e3EsDlpNo0c_E_008837_008845_A_0000_0008,data/FineGym_data/videos/val/1/e3EsDlpNo0c_E_008837_008845_A_0000_0008.mp4,1,32,25,16,16,False,False,0.33495619893074036,0.005836111027747393,0.01011230681251618,0.6024079450289719,250,4,32,32,False,
finegym,val,0LtLS9wROrk_E_002681_002688_A_0000_0006,data/FineGym_data/videos/val/2/0LtLS9wROrk_E_002681_002688_A_0000_0006.mp4,2,32,25,16,2,True,True,0.7533649802207947,0.006650723051279783,0.01011230681251618,0.5954064410179853,195,4,32,32,False,
finegym,val,0LtLS9wROrk_E_004387_004394_A_0000_0006,data/FineGym_data/videos/val/2/0LtLS9wROrk_E_004387_004394_A_0000_0006.mp4,2,32,25,16,2,True,True,0.7473598122596741,0.005736463004723191,0.01011230681251618,0.5876231979927979,200,4,32,32,False,
